Day,Cash On Hand
1,3487400
2,3158420
3,1485935
4,538581
5,24852
6,277838
7,634098
8,231488
9,240980
10,892282
11,1034758
12,1445427
13,3232569
14,3626682
15,3727886
16,3842968
17,6165252
18,6460872
19,3275704
20,3366097
21,7429798
22,5602429
23,1001256
24,3393152
25,3552576
26,1454056
27,4337054
28,4341359
29,5819374
30,6002358
31,6177369
32,4713679
33,6532133
34,7598410
35,6526938
36,6215625
37,6425792
38,1673541
39,3698633
40,6479168
41,3632897
42,6467864
43,9270488
44,7087174
45,4383435
46,6137222
47,8349984
48,8493344
49,5651478
50,7143599
51,9541963
52,10641937
53,10497865
54,9129935
55,9496210
56,11563969
57,11781537
58,13543714
59,12912058
60,12943990
61,13000583
62,13330614
63,13626743
64,14110724
65,14524595
66,15069196
67,15145920
68,16289551
69,16581531
70,16968300
71,17323983
72,16278315
73,17728128
74,18336373
75,16757385
76,14939003
77,15719994
78,14524541
79,15599590
80,14004346
81,15929277
82,16513715
83,16049692
84,16287007
85,16412249
86,16453474
87,16642657
88,16828326
89,16935896
90,16842651
