"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Human Resource Expense","Counselled","2000"
"90","Salary Expense","Cash Payment - Salary Expense","42722"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"90","Rental Expense","Cash Payment - Rental - New York","4020"
"90","Rental Expense","Cash Payment - Rental - Miami","4200"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1148"
"90","Rental Expense","Cash Payment - Rental - Detroit","1000"
"90","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1312"
"90","Rental Expense","Cash Payment - Rental - Chicago","1480"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"90","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"89","Human Resource Expense","Attended Training","15000"
"89","Human Resource Expense","Counselled","2000"
"89","Human Resource Expense","Counselled","2000"
"89","Salary Expense","Cash Payment - Salary Expense","42630"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"89","Rental Expense","Cash Payment - Rental - New York","4020"
"89","Rental Expense","Cash Payment - Rental - Miami","4200"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1204"
"89","Rental Expense","Cash Payment - Rental - Detroit","1000"
"89","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1435"
"89","Rental Expense","Cash Payment - Rental - Chicago","1480"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"89","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"88","Human Resource Expense","Counselled","2000"
"88","Human Resource Expense","Attended Training","15000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","42538"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"88","Rental Expense","Cash Payment - Rental - New York","4020"
"88","Rental Expense","Cash Payment - Rental - Miami","4200"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1260"
"88","Rental Expense","Cash Payment - Rental - Detroit","1000"
"88","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1599"
"88","Rental Expense","Cash Payment - Rental - Chicago","1480"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"88","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Attended Training","15000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Salary Expense","Cash Payment - Salary Expense","42538"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","10000"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"87","Rental Expense","Cash Payment - Rental - New York","4020"
"87","Rental Expense","Cash Payment - Rental - Miami","4200"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1344"
"87","Rental Expense","Cash Payment - Rental - Detroit","1000"
"87","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1722"
"87","Rental Expense","Cash Payment - Rental - Chicago","1480"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"87","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Salary Expense","Cash Payment - Salary Expense","42412"
"86","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 381","15000"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","15000"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"86","Rental Expense","Cash Payment - Rental - New York","4020"
"86","Rental Expense","Cash Payment - Rental - Miami","4200"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1400"
"86","Rental Expense","Cash Payment - Rental - Detroit","1000"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1845"
"86","Rental Expense","Cash Payment - Rental - Chicago","1480"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"86","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Attended Training","15000"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Salary Expense","Cash Payment - Salary Expense","42387"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"85","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 387","15000"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","25000"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"85","Rental Expense","Cash Payment - Rental - New York","4020"
"85","Rental Expense","Cash Payment - Rental - Miami","4200"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1456"
"85","Rental Expense","Cash Payment - Rental - Detroit","1000"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2009"
"85","Rental Expense","Cash Payment - Rental - Chicago","1480"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"85","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"84","Human Resource Expense","Attended Training","15000"
"84","Human Resource Expense","Counselled","2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Salary Expense","Cash Payment - Salary Expense","42299"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14984","11"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"84","Rental Expense","Cash Payment - Rental - New York","4020"
"84","Rental Expense","Cash Payment - Rental - Miami","4200"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1540"
"84","Rental Expense","Cash Payment - Rental - Detroit","1000"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","2132"
"84","Rental Expense","Cash Payment - Rental - Chicago","1480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"84","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"83","Human Resource Expense","Attended Training","15000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
