[HIGHEST OVERHEAD] Salary Expense : 30.89%
[CASH DEFECIT] DAY: 2, AMOUNT: USD -328980.0
[CASH DEFECIT] DAY: 3, AMOUNT: USD -1672485.0
[CASH DEFECIT] DAY: 4, AMOUNT: USD -947354.0
[CASH DEFECIT] DAY: 5, AMOUNT: USD -513729.0
[CASH DEFECIT] DAY: 8, AMOUNT: USD -402610.0
[CASH DEFECIT] DAY: 19, AMOUNT: USD -3185168.0
[CASH DEFECIT] DAY: 22, AMOUNT: USD -1827369.0
[CASH DEFECIT] DAY: 23, AMOUNT: USD -4601173.0
[CASH DEFECIT] DAY: 26, AMOUNT: USD -2098520.0
[CASH DEFECIT] DAY: 32, AMOUNT: USD -1463690.0
[CASH DEFECIT] DAY: 35, AMOUNT: USD -1071472.0
[CASH DEFECIT] DAY: 36, AMOUNT: USD -311313.0
[CASH DEFECIT] DAY: 38, AMOUNT: USD -4752251.0
[CASH DEFECIT] DAY: 41, AMOUNT: USD -2846271.0
[CASH DEFECIT] DAY: 44, AMOUNT: USD -2183314.0
[CASH DEFECIT] DAY: 45, AMOUNT: USD -2703739.0
[CASH DEFECIT] DAY: 49, AMOUNT: USD -2841866.0
[CASH DEFECIT] DAY: 53, AMOUNT: USD -144072.0
[CASH DEFECIT] DAY: 54, AMOUNT: USD -1367930.0
[CASH DEFECIT] DAY: 59, AMOUNT: USD -631656.0
[CASH DEFECIT] DAY: 72, AMOUNT: USD -1045668.0
[CASH DEFECIT] DAY: 75, AMOUNT: USD -1578988.0
[CASH DEFECIT] DAY: 76, AMOUNT: USD -1818382.0
[CASH DEFECIT] DAY: 78, AMOUNT: USD -1195453.0
[CASH DEFECIT] DAY: 80, AMOUNT: USD -1595244.0
[CASH DEFECIT] DAY: 83, AMOUNT: USD -464023.0
[CASH DEFECIT] DAY: 90, AMOUNT: USD -93245.0
[NET PROFIT DEFICIT] Day : 2, AMOUNT : 328980.0
[NET PROFIT DEFICIT] Day : 19, AMOUNT : 2966.0
[NET PROFIT DEFICIT] Day : 41, AMOUNT : 172043.0
[NET PROFIT DEFICIT] Day : 48, AMOUNT : 11211.0
[NET PROFIT DEFICIT] Day : 53, AMOUNT : 18302.0
[NET PROFIT DEFICIT] Day : 54, AMOUNT : 111239.0
[NET PROFIT DEFICIT] Day : 59, AMOUNT : 74184.0
[NET PROFIT DEFICIT] Day : 60, AMOUNT : 43929.0
[NET PROFIT DEFICIT] Day : 61, AMOUNT : 42248.0
[NET PROFIT DEFICIT] Day : 67, AMOUNT : 8699.0
[NET PROFIT DEFICIT] Day : 69, AMOUNT : 9860.0
[NET PROFIT DEFICIT] Day : 70, AMOUNT : 27605.0
[NET PROFIT DEFICIT] Day : 76, AMOUNT : 11804.0
[NET PROFIT DEFICIT] Day : 77, AMOUNT : 406572.0
[NET PROFIT DEFICIT] Day : 78, AMOUNT : 303438.0
[NET PROFIT DEFICIT] Day : 83, AMOUNT : 43109.0
[NET PROFIT DEFICIT] Day : 85, AMOUNT : 98655.0
[NET PROFIT DEFICIT] Day : 86, AMOUNT : 34932.0
[NET PROFIT DEFICIT] Day : 87, AMOUNT : 16830.0
[NET PROFIT DEFICIT] Day : 88, AMOUNT : 17226.0
